0	10	11.189	12.52	14.008	15.674	17.538	19.624	21.957	24.568	27.49	30.759	34.417	38.509	43.089	48.213	53.946	60.361	67.539	75.57	84.556	94.611	105.862	118.451	132.536	148.297	165.932	185.664	207.742	232.445	260.087	291.015	325.621	364.342	407.668	456.146	510.389	571.082	638.992	714.978	800	819.679778644733	880.917448391193	946.491860977391	1017.19407043742	1093.05244872645	1174.42010683599	1262.11627785635	1356.14115310534	1457.25731663128	1566.28419284228	1683.22207108676	1808.45185640514	1943.14627867713	2088.12466507081	2244.14998543238	2411.6599867432	2591.38907241424	2784.94791141492	2992.74626377877	3215.92790873351	3456.10351445801	3714.06461644315	3990.98278480328	4288.44070393171	4608.40205733991	4952.47693609109	5321.83768347651	5718.829758465	6145.47320505222	6604.08414417601	7097.09295856234	7626.43399685399	8195.27339627099	8806.77343447353	9463.71808979813	10169.6240055301	10928.4764547399	11743.8191039564	12619.9900471026	13561.7350178278	14573.8012921819	15660.9361470058
0	20.3	83.55	102.95	251	322.5	563.5	609	804.5	1240	1370	1830	2370	3325	4820	5815	5320	4035	3225	2815	2420	1895	1720	1765	1925	2005	1645	1250	968	774.5	624	406.5	222.5	108.5	43.05	23.25	13.7	9.98	8.705	7.06	3.525	3.754387	3.324498	2.72282	2.31436	2.051317	1.610856	1.462033	1.226941	1.138011	0.756057	0.613905	0.501519	0.513459	0.336769	0.194208	0.088801	0.07792	0.024756	0.007098	0	0	0.007089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
600	22.5	25.53	107	197	345	531.5	683	886	1245	1505	1850	2290	3265	4880	5905	5585	4220	3050	2710	2270	1805	1630	1780	1895	1945	1685	1260	1030	820	628.5	440	262.5	101.2	40.45	25.25	17.5	11.335	7.52	6.085	6.295	3.602027	3.055961	2.913774	2.022477	2.136785	1.54583	1.356426	1.176058	1.074253	0.762561	0.604312	0.496552	0.329567	0.298336	0.171308	0.105506	0.028054	0.038518	0.017569	0.010516	0.007008	0	0.003511	0.003512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1200	10.15	15.69	125.7	184	299	566	728.5	903	1315	1620	1920	2360	3160	4650	6080	5880	4560	3160	2585	2255	1785	1615	1700	1870	2000	1790	1430	1040	844	664	439	233	113.5	60.35	26.35	17.8	10.885	8.72	8.455	1.4444	3.81149	3.150946	2.762669	2.130786	1.978135	1.742146	1.500147	1.193677	1.172244	0.769566	0.611346	0.471906	0.319052	0.235161	0.192287	0.091439	0.045588	0.024512	0.010542	0	0.007008	0.003509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1800	11.255	55.15	134.5	351.5	529	779.5	953	1115	1270	1645	1945	2350	3280	4595	6015	5955	4825	3800	3475	3030	2385	1985	1890	1965	2010	1805	1380	1070	824.5	629	451	252	117.5	55.85	32.9	20.05	8.485	9.495	7.065	2.105	3.486878	3.10874	2.685337	2.078385	1.875875	1.605435	1.338913	1.23945	1.161744	0.780059	0.628912	0.535295	0.343594	0.287809	0.129356	0.098473	0.031561	0.024511	0.014056	0.003505	0.003504	0	0	0	0	0	0	0	0	0.003504	0	0	0	0	0	0	0	0	0	0	0	0
2400	53.6	66.35	181.7	407	658	986	1305	1450	1570	1735	2000	2520	3290	4725	5945	5685	4400	3395	2800	2315	1905	1655	1680	1880	1930	1730	1410	1095	850.5	674.5	449	255.5	128.5	59.4	27.2	21.2	13.3	6.995	7.25	7.02	3.722742	3.274845	2.914582	2.402613	2.06917	1.671079	1.543488	1.315879	1.130967	0.851466	0.617467	0.5122	0.396612	0.280056	0.183619	0.088803	0.05667	0.028294	0.017745	0.00354	0	0	0	0.003547	0	0.007084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3000	66.7	231	231	397	600.5	742.5	1012.5	1195	1415	1690	1940	2335	3070	4275	5470	5620	4550	3435	2715	2285	1840	1570	1655	1820	1930	1845	1415	1105	843.5	699	492.5	255.5	133	60.3	17.35	16.4	12.085	6.33	5.455	7.665	3.473443	2.970325	2.787795	2.237877	1.979694	1.464747	1.350086	1.14711	1.070665	0.727385	0.695809	0.564921	0.374944	0.246758	0.152322	0.118402	0.055559	0.020804	0.006959	0.013884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3600	73.4	86.6	227.5	280	392	610	757	948	1145	1450	1835	2280	2950	4045	5100	5480	4440	3460	2695	2295	1830	1570	1635	1825	1910	1745	1355	1030	823.5	645.5	457	258	124.5	54.45	30.9	15.8	13.1	7.125	6.84	2.125	3.582247	3.056736	2.7109	2.262919	2.003704	1.648596	1.24796	1.084875	1.092396	0.724444	0.602189	0.528145	0.379151	0.343754	0.178337	0.129166	0.071552	0.01429	0.010755	0.007152	0.00715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4200	54.75	135	204.5	307	501	712	856	1035	1215	1460	1760	2295	3100	4160	5165	5435	4475	3400	2725	2335	1855	1595	1565	1820	1975	1695	1390	1055	815.5	627.5	463	253.5	127	67.8	25.3	17.4	13.7	5.4	4.505	9.05	3.542918	3.015529	2.843555	2.339087	2.029976	1.518827	1.479752	1.120265	1.085012	0.752533	0.660045	0.52998	0.400149	0.283598	0.236584	0.134979	0.03896	0.04244	0.024843	0.007081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4800	87.5	166	229	354.5	576.5	589.5	846.5	905	1185	1425	1865	2300	3145	4170	5250	5670	4825	3840	3050	2540	1995	1760	1770	1860	1945	1785	1455	1115	860.5	702	480.5	286	140.5	64.9	23.9	15.9	9.73	8.475	4.875	7.65	3.584655	3.073613	2.818937	2.207657	1.939369	1.658036	1.465112	1.299327	1.102271	0.905999	0.646488	0.59165	0.511892	0.358011	0.244731	0.12661	0.063123	0.045522	0.01757	0.003505	0.010512	0.007019	0	0.003512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5400	170.5	186	184.5	319.5	481.5	537	674	853	1045	1395	1790	2205	2955	4030	5100	5455	4810	3825	2965	2525	2050	1740	1755	1855	1965	1805	1455	1125	897.5	737	485	287.5	141.5	57.85	29.95	20.05	14.95	7.675	7.885	3.53775	3.525317	2.930306	2.713726	2.06595	1.804664	1.467229	1.521564	1.213971	1.148637	0.808524	0.638076	0.629305	0.459671	0.337457	0.183347	0.140035	0.074925	0.023805	0.010238	0.010213	0.006806	0.003408	0.00341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6600	161.5	245.5	295.5	373	470	536.5	712	953	1125	1535	1835	2420	3205	4345	5105	5255	4350	3415	2845	2430	1915	1655	1640	1835	1940	1775	1470	1145	925	725.5	474.5	300	134.5	66.3	29.7	16.45	12.9	8.035	5.31	7.705	3.521805	3.008459	2.999789	2.332056	2.190261	1.830401	1.539951	1.376341	1.113298	0.883265	0.645858	0.586897	0.453271	0.308417	0.236586	0.127876	0.063754	0.02122	0.017745	0	0	0	0.003546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7200	148.5	188.5	246.5	321	445	592	712.5	941.5	1220	1500	1745	2320	3050	4130	5090	5300	4685	3565	2920	2455	1990	1695	1640	1830	2010	1820	1515	1130	912.5	698.5	488.5	277	123	57.4	24.9	13.05	12.1	8.845	4.465	4.905	3.169384	2.896143	2.515735	2.03202	1.818355	1.43999	1.34115	1.152414	1.039886	0.784741	0.549357	0.485657	0.347306	0.279509	0.234276	0.099049	0.057896	0.040808	0.006825	0.010213	0.003403	0.010224	0.00341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7800	393	524.5	500.5	705	585.5	715.5	825.5	1000.5	1405	1555	2015	2490	3205	4145	4685	5010	4860	4040	3175	2500	2075	1785	1720	1840	1940	1875	1535	1170	953.5	731	509.5	295	135.5	64.25	37.75	16	12.2	7.535	3.395	2.815	3.575666	2.913986	2.590065	2.149229	1.88244	1.68711	1.325728	1.172164	1.024212	0.731843	0.68076	0.479096	0.354116	0.28577	0.212587	0.108738	0.08674	0.046915	0.021729	0.010838	0.014445	0.003617	0.003619	0.003619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8400	162	259.5	335	351	479.5	497	587.5	911.5	1060	1350	1700	2145	2780	3730	4710	5235	4825	4065	3325	2765	2320	1910	1745	1880	1960	1885	1560	1240	957	730.5	532	296	148	71.5	25	15.1	7.61	5.81	4.375	4.19	3.325906	2.798457	2.517297	2.088327	1.834654	1.537756	1.323069	1.124405	1.09955	0.638803	0.544844	0.520966	0.246809	0.21843	0.146238	0.064584	0.050087	0.025007	0.017925	0.007152	0.003575	0	0.003582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9600	63.75	142	256.5	421.5	510.5	664	847.5	1125	1440	1650	1865	2305	2810	3745	4645	5310	5510	5005	4400	3730	3050	2355	1990	2050	2120	2070	1755	1315	1030	779	556	314	168.5	74.7	29.4	15.1	15.5	8.32	5.585	8.39	3.340175	2.805653	2.782673	2.362749	1.953382	1.494853	1.391021	1.19626	1.031728	0.795834	0.537679	0.438333	0.343389	0.204108	0.121272	0.068172	0.021466	0.017862	0.010755	0.003576	0	0.007161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10200	105	145.5	284.5	482.5	668	775.5	938	1215	1400	1645	1905	2185	2805	3690	4535	5250	5130	4555	3870	3270	2605	2095	1820	1940	1925	1930	1645	1290	1025	756.5	538	326	159.5	71.65	29.2	20.95	10.965	8.465	11.47	3.58	3.437216	2.930333	2.414045	2.205058	2.072746	1.402017	1.408974	1.212751	0.876506	0.681884	0.496817	0.419723	0.304543	0.198522	0.134184	0.081699	0.053129	0.014147	0.007098	0.00354	0.003539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10800	133	286	491.5	811.5	935.5	1080	1140	1205	1440	1755	2005	2670	3365	4145	4775	4890	4400	3775	3180	2720	2100	1720	1595	1845	2000	1925	1665	1315	985.5	753.5	539.5	317	153	68	41.6	19.4	10.95	8.41	8.195	5.635	3.357646	2.869129	2.426457	1.883937	1.811833	1.433368	1.295761	1.084203	0.864704	0.600282	0.503019	0.424766	0.275045	0.17209	0.109706	0.120704	0.024071	0.030904	0.017229	0.003437	0.003436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00344	0	0	0	0
